Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-AHF_1_010166464,V.E. & V.J. Day remembrance event,This group will use their award to celebrate the 60th anniversary of the end of the Second World War by holding a party.,2005-07-22,2430.0,360G-blf,The Big Lottery Fund,0.0209574085777
360G-blf-0030015359,"Introduction to Carnival Arts, Dance and Music","This new group have set up to provide carnival art workshops in the Bedford area for children and adults. The project will include dance, DJ and costume making sessions that will encourage participants to learn new skills ready for regional carnivals and parades.",2009-01-19,8951.0,360G-blf,The Big Lottery Fund,0.0209332983435
360G-blf-0031038910,Let's get together and celebrate our Community Centre,"The organisation will use the funding to hold a one day event that will be open to the local community. The event, which will include a BBQ, live music, dance performances and arts and crafts sessions, will enable the organisation to bring the whole community together to celebrate.",2016-08-25T00:00:00+00:00,4460.0,360G-blf,The Big Lottery Fund,0.0209166264632
360G-blf-A4E_3_010116105,Circus  & arts workshops,"A project to benefit the community of Wednesbury through the provision of art and circus workshops. The grant will pay for Circus skills workshops, multi cultural street entertainers and artist workshops.",2004-05-20,4150.0,360G-blf,The Big Lottery Fund,0.0208953866683
360G-blf-0030048771,Rotherham Arts Festival,"The group promotes an understanding of the arts, heritage and culture in the local area. The award will be used to hold an artistic and cultural festival across the borough.",2006-03-15,4930.0,360G-blf,The Big Lottery Fund,0.0208905175902
360G-blf-0030001387,Walkabout In Little Hulton,"This residents association provides community activities and works closely with local groups providing advice and support for residents. The award is for a project for a three month intensive arts development programme including workshops, film, music technology and event management, which will result in a multi-media public community event in April. The award will include funding for workshops, artistic director and equipment hire.",2008-03-18,10000.0,360G-blf,The Big Lottery Fund,0.0208876266883
360G-blf-AHF_1_010145930,60th Anniversary Celebration,An award has been made to the Brandon Community Partnership to enable them to carry out a VE Celebration Day.  The day will consist of music and entertainment of the era and decorations and costumes will be made by local school children for the event.,2005-04-15,15088.0,360G-blf,The Big Lottery Fund,0.0208812669446
360G-blf-0030048603,Dance Sessions,"The group's aim is to organise a free community festival and arts and training workshops for the local community. The award will fund cultural dance sessions for young people, who will perform the dance routines at the festival. ",2006-05-17,5000.0,360G-blf,The Big Lottery Fund,0.0208796122023
360G-blf-0030014362,"Music, Arts and Gardens Festival","This new group organises community garden, art and music based activities in Heighington, County Durham. The project is to hold a festival in June with open air concerts, art workshops and garden exhibitions to bring residents of the village together.",2009-04-23,740.0,360G-blf,The Big Lottery Fund,0.0208553168737
360G-blf-A4E_3_010136180,Workshops,"This new group aim to raise awareness of music and creative art throughout the region. The award means they can run music technology workshops showing people how to make music using computers. computer, keyboard, mixer, headphones, speakers, mic pre-amp.",2004-11-05,5000.0,360G-blf,The Big Lottery Fund,0.0208501632414
360G-blf-AHF_1_010162697,Exhibition and War Dance,The Mountfield Ulster Scots Association in Omagh will use an award to host two WW2 themed events to commemorate the 60th anniversary of WW2. The first event will be a history and information session including an exhibition of work on WW2. The second event will be a themed dance entitled 'The War Years'.,2005-07-08,3430.0,360G-blf,The Big Lottery Fund,0.0208361796241
